"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 25 07:06:40 GMT 2021","Wed Aug 25 07:07:06 GMT 2021","25833","","tests.WikipediaTests","","tests.WikipediaTests","newPage","TC-6, Data entry.",""
"passed","Wed Aug 25 07:07:06 GMT 2021","Wed Aug 25 07:07:11 GMT 2021","4462","","tests.WikipediaTests","","tests.WikipediaTests","logInValidTest","TC-1, Log in with valid datas.",""
"broken","Wed Aug 25 07:06:34 GMT 2021","Wed Aug 25 07:06:40 GMT 2021","6026","","tests.WikipediaTests","","tests.WikipediaTests","deletePage","TC-8, Data delete.",""
"passed","Wed Aug 25 07:04:32 GMT 2021","Wed Aug 25 07:04:35 GMT 2021","2702","","tests.WikipediaTests","","tests.WikipediaTests","logInInValidTest","TC-2, Log in with invalid datas.",""
"passed","Wed Aug 25 07:05:12 GMT 2021","Wed Aug 25 07:06:21 GMT 2021","68505","","tests.WikipediaTests","","tests.WikipediaTests","morePagesListsTest","TC-11, Multi-page list",""
"passed","Wed Aug 25 07:04:41 GMT 2021","Wed Aug 25 07:04:46 GMT 2021","5296","","tests.WikipediaTests","","tests.WikipediaTests","logOutTest","TC-3, Log out.",""
"passed","Wed Aug 25 07:04:35 GMT 2021","Wed Aug 25 07:04:41 GMT 2021","6067","","tests.WikipediaTests","","tests.WikipediaTests","PrivacyPolicyTest","TC-4, Privacy and policy.",""
"broken","Wed Aug 25 07:06:28 GMT 2021","Wed Aug 25 07:06:34 GMT 2021","5967","","tests.WikipediaTests","","tests.WikipediaTests","editPage","TC-7, Data edit.",""
"passed","Wed Aug 25 07:06:21 GMT 2021","Wed Aug 25 07:06:28 GMT 2021","7581","","tests.WikipediaTests","","tests.WikipediaTests","writeToFile","TC-9, Save data to file.",""
"broken","Wed Aug 25 07:04:46 GMT 2021","Wed Aug 25 07:05:12 GMT 2021","26380","","tests.WikipediaTests","","tests.WikipediaTests","writeFromFile","TC-10, Write data from file.",""
"passed","Wed Aug 25 07:04:16 GMT 2021","Wed Aug 25 07:04:32 GMT 2021","15255","","tests.WikipediaTests","","tests.WikipediaTests","dataListTest","TC-5, Listing data from a table.",""
